pl_name,sy_snum,pl_orbsmax,pl_rade,st_rad,sy_dist
HAT-P-61 b,1,0.0301,10.077,0.94,338.84
HAT-P-62 b,1,0.03772,12.027,1.17,348.815
HAT-P-63 b,1,0.04294,12.543,0.97,403.458
HAT-P-64 b,1,0.05387,19.089,1.74,651.897
HAT-P-65 b,1,0.04042,18.058,1.67,738.519
HAT-P-66 b,1,0.04363,17.822,1.88,935.456
HAT-P-67 b,2,0.06505,23.371,2.55,371.686
HAT-P-68 b,1,0.02996,12.016,0.67,202.152
HAT-P-69 b,1,0.06555,18.786,1.93,341.263
HAT-P-7 b,2,0.03676,16.926,2,341.079
HAT-P-70 b,1,0.04739,20.961,1.86,330.739
HAT-P-8 b,3,0.04496,15.693,1.57,211.553
HAT-P-9 b,1,0.05287,15.614,1.34,455.203
HATS-1 b,1,0.0444,14.594,1.04,283.971
HATS-10 b,1,0.04491,10.862,1.1,534.889
HATS-11 b,1,0.0507,18.03,1.54,944.603
HATS-12 b,1,0.0441,7.76,1.17,746.138
HATS-13 b,1,0.04057,13.585,0.89,421.855
HATS-14 b,1,0.03815,11.646,0.93,513.011
HATS-15 b,1,0.02712,12.386,0.92,1139.55
HATS-16 b,1,0.03744,14.572,1.24,757.044
HATS-17 b,1,0.1308,8.709,1.09,400.331
HATS-18 b,1,0.0174,14.897,1.02,624.368
HATS-2 b,1,0.02317,12.576,0.88,341.925
HATS-22 b,1,0.05025,10.682,0.69,229.518
HATS-23 b,1,0.03397,20.849,1.2,639.004
HATS-24 b,1,0.0238,15.637,1.12,494.182
HATS-25 b,1,0.05163,14.123,1.11,471.158
HATS-26 b,1,0.04735,19.616,2.04,861.843
HATS-27 b,1,0.0611,16.814,1.74,816.988
HATS-28 b,1,0.04131,13.384,0.92,535.383
HATS-29 b,1,0.05475,14.022,1.07,353.891
HATS-3 b,1,0.0485,15.48,1.4,411.211
HATS-30 b,2,0.04354,13.171,1.06,342.14
HATS-31 b,1,0.0478,18.383,1.87,773.974
HATS-32 b,1,0.04024,14,1.1,745.116
HATS-33 b,1,0.03727,13.787,1.02,248.46
HATS-34 b,1,0.03166,16.029,0.98,508.842
HATS-35 b,1,0.03199,16.41,1.43,514.555
HATS-36 b,1,0.0523,12.92,1.1,856.436
HATS-37 A b,2,0.04913,6.793,0.88,211.896
HATS-38 b,1,0.05036,6.882,1.1,343.525
